date,famille_transport,ligne,incidents
2019-10-20,ter,Hauts-de-France,
2019-10-20,ter,Normandie,['Grève sans préavis']
2019-10-20,ter,Pays de la Loire,
2019-10-20,ter,Provence-Alpes-Côte d'Azur,['Grève sans préavis']
2019-10-20,tgv,nord,['Grève sans préavis']
2019-10-20,tgv,est,
2019-10-20,tgv,atlantique,['Grève sans préavis']
2019-10-20,tgv,sudest,
2019-10-20,tgv,ouigo,['Grève sans préavis']
2019-10-20,tgv,europe,
2019-10-20,intercites,Paris-Limoges-Toulouse,['Grève sans préavis']
2019-10-20,intercites,Paris-Clermont,['Grève sans préavis']
